time	obs_wavelength	flux	instrument	integration	integration_unit	time_unit	wavelength_unit	flux_unit	redshift	dtime	time_frame	rest_wavelength	reference
0.293	5384.539991	6.572301e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4992.619370421882	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5387.129991	7.166241e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4995.020853963839	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5389.719991	6.791326e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4997.4223375057945	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5392.309991	6.703228e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	4999.823821047751	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5394.899991	7.417363e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	5002.225304589708	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5397.48999	6.586064e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	5004.626787204451	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5400.07999	6.318822e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	5007.0282707464075	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5402.66999	6.679205e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	5009.429754288363	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5405.25999	6.809567e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	5011.831237830319	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5407.84999	6.615763e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	5014.232721372276	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5410.43999	6.095993e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	5016.634204914232	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5413.02999	6.377256e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	5019.035688456189	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5415.61999	7.196579e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	5021.4371719981455	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5418.20999	7.395938e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	5023.838655540102	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5420.79999	6.651388e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	5026.240139082059	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
0.293	5423.38999	7.350423e-08	OSIRIS+R1000R	600	seconds	days	angstroms	erg/s/cm2/A	0.0785	NaN	observer	5028.641622624014	https://ui.adsabs.harvard.edu/abs/2021A%26A...646A..50H/abstract
