date	obs_wavelength	flux	sky_flux	redshift	instrument	date_unit	wavelength_unit	flux_unit
2020-02-08T05:52:18	5998.00	0.812844	2254.87	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	6007.20	0.758741	2214.64	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	6016.40	0.795414	2184.63	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	6025.60	0.791146	2183.46	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	6034.80	0.778767	2182.32	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	6044.00	0.780281	2163.52	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	6053.20	0.720259	2192.65	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	6062.40	0.733495	2119.69	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	6071.60	0.713201	2147.57	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	6080.80	0.802326	2124.19	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	6090.00	0.733875	2085.46	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	6099.20	0.740562	2095.10	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	6108.40	0.717243	2098.61	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	6117.60	0.771304	2094.05	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	6126.80	0.822282	2055.19	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	6136.00	0.763786	2085.03	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	6145.20	0.686303	2086.74	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	6154.40	0.718861	2041.56	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	6163.60	0.770641	2028.07	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	6172.80	0.748552	2015.85	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	6182.00	0.719179	2027.71	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
2020-02-08T05:52:18	6191.20	0.696639	2079.30	0.025235	LT SPRAT ZTF	utc	angstroms	calibrated
