date	time	band	mag	mag_limit	dmag	instrument	date_unit	time_unit	mag_unit	mag_type	time_frame	extinction_correccted	dtime	reference	extinction_corrected	dmag2	seeing	seeing_unit
50992.89	63.98084490740741	V	15.79	0	0.02	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/1999PASP..111..964M/abstract	True	NaN	NaN	NaN
50992.89	63.98084490740741	I	15.16	0	0.03	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/1999PASP..111..964M/abstract	True	NaN	NaN	NaN
50995.88	66.97084490740741	B	16.74	0	0.03	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/1999PASP..111..964M/abstract	True	NaN	NaN	NaN
50995.88	66.97084490740741	V	15.85	0	0.02	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/1999PASP..111..964M/abstract	True	NaN	NaN	NaN
50995.88	66.97084490740741	I	15.22	0	0.02	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/1999PASP..111..964M/abstract	True	NaN	NaN	NaN
50996.88	67.97084490740741	B	16.75	0	0.03	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/1999PASP..111..964M/abstract	True	NaN	NaN	NaN
50996.88	67.97084490740741	V	15.86	0	0.02	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/1999PASP..111..964M/abstract	True	NaN	NaN	NaN
50996.88	67.97084490740741	I	15.22	0	0.02	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/1999PASP..111..964M/abstract	True	NaN	NaN	NaN
51002.92	74.0108449074074	B	16.86	0	0.03	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/1999PASP..111..964M/abstract	True	NaN	NaN	NaN
51002.92	74.0108449074074	V	16.0	0	0.03	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/1999PASP..111..964M/abstract	True	NaN	NaN	NaN
51004.88	75.97084490740741	B	16.87	0	0.03	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/1999PASP..111..964M/abstract	True	NaN	NaN	NaN
51004.88	75.97084490740741	V	16.04	0	0.03	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/1999PASP..111..964M/abstract	True	NaN	NaN	NaN
51007.93	79.02084490740741	V	16.09	0	0.03	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/1999PASP..111..964M/abstract	True	NaN	NaN	NaN
51007.93	79.02084490740741	I	15.45	0	0.03	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/1999PASP..111..964M/abstract	True	NaN	NaN	NaN
51007.94	79.03084490740741	V	16.11	0	0.03	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/1999PASP..111..964M/abstract	True	NaN	NaN	NaN
51008.87	79.9608449074074	B	16.9	0	0.04	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/1999PASP..111..964M/abstract	True	NaN	NaN	NaN
51008.87	79.9608449074074	V	16.11	0	0.03	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/1999PASP..111..964M/abstract	True	NaN	NaN	NaN
51008.87	79.9608449074074	I	15.42	0	0.04	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/1999PASP..111..964M/abstract	True	NaN	NaN	NaN
51010.9	81.9908449074074	B	16.95	0	0.03	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/1999PASP..111..964M/abstract	True	NaN	NaN	NaN
51010.9	81.9908449074074	V	16.14	0	0.03	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/1999PASP..111..964M/abstract	True	NaN	NaN	NaN
51010.9	81.9908449074074	I	15.47	0	0.03	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/1999PASP..111..964M/abstract	True	NaN	NaN	NaN
51011.88	82.97084490740741	B	16.98	0	0.04	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/1999PASP..111..964M/abstract	True	NaN	NaN	NaN
51011.88	82.97084490740741	V	16.17	0	0.02	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/1999PASP..111..964M/abstract	True	NaN	NaN	NaN
51011.88	82.97084490740741	I	15.51	0	0.03	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/1999PASP..111..964M/abstract	True	NaN	NaN	NaN
51012.92	84.0108449074074	B	16.92	0	0.03	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/1999PASP..111..964M/abstract	True	NaN	NaN	NaN
51012.92	84.0108449074074	V	16.18	0	0.03	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/1999PASP..111..964M/abstract	True	NaN	NaN	NaN
51012.92	84.0108449074074	I	15.53	0	0.03	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/1999PASP..111..964M/abstract	True	NaN	NaN	NaN
51013.9	84.9908449074074	B	16.93	0	0.03	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/1999PASP..111..964M/abstract	True	NaN	NaN	NaN
51013.9	84.9908449074074	V	16.19	0	0.03	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/1999PASP..111..964M/abstract	True	NaN	NaN	NaN
51013.9	84.9908449074074	I	15.53	0	0.03	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/1999PASP..111..964M/abstract	True	NaN	NaN	NaN
51014.9	85.9908449074074	B	17.02	0	0.03	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/1999PASP..111..964M/abstract	True	NaN	NaN	NaN
51014.9	85.9908449074074	V	16.22	0	0.02	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/1999PASP..111..964M/abstract	True	NaN	NaN	NaN
51014.9	85.9908449074074	I	15.59	0	0.03	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/1999PASP..111..964M/abstract	True	NaN	NaN	NaN
51019.87	90.9608449074074	B	17.07	0	0.03	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/1999PASP..111..964M/abstract	True	NaN	NaN	NaN
51019.87	90.9608449074074	V	16.31	0	0.02	CTIO	MJD	days	AB	apparent	observer	NaN	NaN	https://ui.adsabs.harvard.edu/abs/1999PASP..111..964M/abstract	True	NaN	NaN	NaN
